concepto_cleared,categoria,metodo_algoritmo,explicacion
servicio suministro instalacion boton verde señal,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de suministro e instalación de componentes eléctricos menores.
servicio suministro aplicacion acpm incluye transporte actividades ejecutadas bodega ubicada plc barranquilla segun presupuesto contacto oscar tome deisy diaz,Combustibles derivados del petróleo,gemini-3.1-flash-lite-preview,Compra y suministro de combustible (ACPM) para fines operativos.
servicio mantenimiento fachada bloque abusardado incluye resane juntas mortero impermeabilizado aplicacion sellante acronal siliconeado interno ventaneria pintura muros internos cielo raso afectados humedades incluye escaleras andamios certificados equipos elevacion actividades ejecutadas bodega ubicada plc barranquilla segun presupuesto contacto oscar tome deisy diaz,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Realización de labores de mantenimiento, resane, pintura e impermeabilización sobre infraestructura física."
servicio general instalacion producto plastico impermeable tela actividades ejecutadas bodega ubicada plc barranquilla brigadas temporada invernal mes mes segun presupuesto contacto oscar tome,Servicios Generales,gemini-3.1-flash-lite-preview,Instalación de elementos de protección temporal para instalaciones operativas.
mantenimiento preventivo planta electrica,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de mantenimiento técnico preventivo para maquinaria de soporte.
finalizacion periodo garantia,DESCONOCIDO,gemini-3.1-flash-lite-preview,El concepto es una notificación administrativa sobre un estado de garantía y no constituye un bien o servicio facturable.
honorarios profesionales outsourcing nomina mes,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,"Servicio de outsourcing administrativo para la gestión de nómina, prestado habitualmente por personas jurídicas."
patas fila,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de insumos o partes físicas (patas) para mobiliario o estantería.
galvanizar fila,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de proceso industrial de tratamiento de superficies metálicas.
desmonte instalacion sillas,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de mano de obra para el traslado y reubicación de mobiliario.
formularios preimpresos,Compras Generales,gemini-3.1-flash-lite-preview,Compra de insumos tangibles de papelería.
cuota administracion parqueadero tierra may ofic,Cuota de admon,gemini-3.1-flash-lite-preview,Pago periódico por expensas de administración en propiedad horizontal.
cuota administracion tierra may ofic,Cuota de admon,gemini-3.1-flash-lite-preview,Pago periódico por expensas de administración en propiedad horizontal.
cuota administracion modulo contribucion tierra may ofic,Cuota de admon,gemini-3.1-flash-lite-preview,Pago periódico por expensas y contribuciones de administración en propiedad horizontal.
perforaciones,Servicios Generales,gemini-3.1-flash-lite-preview,Servicios técnicos de perforación no específicos clasificados bajo servicios generales ante la falta de mayor detalle o contexto sobre el tipo de obra.
intereses mora corriente,Rendimientos financieros (generales),gemini-3.1-flash-lite-preview,Cargos asociados a intereses por mora que representan un rendimiento financiero derivado de obligaciones de deuda o pagos tardíos.
schottis cort plis blanco,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un bien tangible (cortina) para uso general, clasificable dentro de compras de mercancías o suministros."
schottis cortina gris oscuro,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un bien tangible (cortina) para uso general, clasificable dentro de compras de mercancías o suministros."
extraordinaria,DESCONOCIDO,gemini-3.1-flash-lite-preview,"El término es ambiguo y no permite identificar si se trata de un bien, servicio o cuota de administración sin contexto adicional."
suministro adecuacion oficinas sencia equivalente valor total orden compra concepto avance obra actual estadio campin ciudad bogota,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Actividad de adecuación de infraestructura y avance de obra civil, enmarcada en contratos de construcción y mejora de inmuebles."
salud integral empresarial examen medico ingreso bogota,Servicios de Salud,gemini-3.1-flash-lite-preview,"Servicios médicos ocupacionales relacionados con el bienestar y salud del trabajador, específicamente exámenes de ingreso."
comprende abr may,DESCONOCIDO,gemini-3.1-flash-lite-preview,El concepto describe únicamente un periodo de tiempo sin especificar la naturaleza del bien o servicio prestado.
runt,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de gestión o pago de derechos ante la plataforma RUNT, clasificado como servicio general por no encajar en otras categorías."
aplicacion saldo favor rpv mpls nacional telefonia gestionada cloud ucaas webex calling,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicios de telecomunicaciones y TI (nube, telefonía, conectividad) que, al no tener una categoría específica, se clasifican como servicios generales."
internet dedicado rpv mpls nacional ucaas webex calling iaas vdc trafico seguro telefonia gestionada cloud abono mpls nal ind serv almacenamiento aplicaciones centro gestion personaliza,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicios integrales de conectividad, TI y comunicaciones que se agrupan en servicios generales ante la falta de una categoría específica para telecomunicaciones."
comision seguimiento control guatapuri mes,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Pago derivado de labores de seguimiento y control profesional, calificable bajo honorarios o comisiones por prestación de servicios."
remuneracion operador gestion makani villas mes mes,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,"Remuneración por gestión y operación delegada de un proyecto, actividad propia de administración delegada o consultoría administrativa."
honorarios asistencia audiencia preliminar delito fraude procesal predio fmi,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Pago por servicios profesionales intelectuales (abogacía) prestados para asistencia en diligencias legales.
reintegro costos gastos servicios publicos consumo correspondiente piso mes mes,Reembolso,gemini-3.1-flash-lite-preview,"Devolución de gastos de servicios públicos incurridos previamente por un tercero, clasificado claramente como reembolso."
reintegro costos gastos servicios publicos consumo correspondientes piso mes mes,Reembolso,gemini-3.1-flash-lite-preview,"Corresponde al reintegro de gastos pagados previamente por un tercero por concepto de servicios públicos, sin que constituya una venta de bienes o servicios."
mantenimiento canoas bajantesa lluvia bodega pobladoo,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio de mantenimiento operativo y preventivo en infraestructura física, clasificado como servicio general de mantenimiento de instalaciones."
lavado marquesina vidrio raspado maleza esquinas siliconado vidrios falta empaque sika flex raspado muro union flanche canal impermeabilizacion canal flanche muro tela poliester sikafill manos pintura muro canal color existente,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Incluye labores de impermeabilización, resane de muros, pintura y reparaciones locativas estructurales, propias de un contrato de obra o construcción."
lampara led cuadrada potencia,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un bien tangible, específicamente un dispositivo de iluminación para inventario."
esquema preferencial equipos chiller fase,Servicios Generales,gemini-3.1-flash-lite-preview,"Contrato de mantenimiento preventivo y operativo para equipos de refrigeración industrial, clasificado como servicio general."
mantenimiento preventivo esquema preferencial unidades crah fase,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio técnico preventivo para unidades de aire acondicionado de precisión (CRAH) en infraestructura tecnológica.
mantenimiento preventivo esquema preferencial equipos chiller fase,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio técnico recurrente para mantenimiento de equipos de refrigeración tipo chiller.
mantenimiento preventivo ups liebert kva,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio técnico preventivo para sistemas de alimentación ininterrumpida de energía (UPS).
ejecucion mantenimiento preventivo proyecto inversiones data center btg,Servicios Generales,gemini-3.1-flash-lite-preview,Ejecución de actividades técnicas de mantenimiento preventivo dentro de una infraestructura de centro de datos.
ingresos terceros retroactivo incremento cuota general administracion mes mes,Cuota de admon,gemini-3.1-flash-lite-preview,Corresponde al pago de ajustes en la cuota de administración de propiedad horizontal.
mto preventivo correctivo control incendios,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio técnico de mantenimiento preventivo y correctivo para sistemas de seguridad contra incendios.
tubo fluorescente philips,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de material de iluminación, clasificado como suministro de bienes corporales."
interruptor sencillo decora leviton tapa,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de material eléctrico y ferretería para mantenimiento o instalación.
cerradura alcoba paso mad dor schlage,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de elemento de cerrajería, considerado un bien mueble tangible de uso general."
bodega red hidraulica limpieza lavado pozo colector,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio operativo de limpieza, lavado y mantenimiento de sistemas hidráulicos y colectores de aguas."
desocupado lavado sanitizacion enjuague tanque almacenamiento agua potable incluye certificados mantenimiento disposicion adecuada residuos,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de mantenimiento y limpieza técnica de tanques que no encaja en categorías especializadas como vigilancia o aseo de oficinas.
bolsa horas,Servicios Generales,gemini-3.1-flash-lite-preview,Concepto genérico de contratación de servicios por horas sin especificar la naturaleza del servicio profesional o técnico.
ajuste mes anterior,Servicios Generales,gemini-3.1-flash-lite-preview,"Ajuste contable o de facturación genérico que no especifica el bien o servicio subyacente, clasificado como servicio general."
